,School,comment,Validated_Labels
0,University of Washington,i think there needs to be an expansion. one quarter of counseling is not enough to develop a relationship with a therapist. ,DISSATISFIED
1,Haverford College,not too sure. don't have a ton of exposure to on campus counseling ,NEUTRAL
2,University of Washington,i have looked at group counseling but they are still remote. i am tired of remote and don't want it simple because it's remote. if it were in person i would definitely go to group therapy.,DISSATISFIED
3,Barnard,"not much in my opinion i’d working well. i think the diversity needs to increase for the counselors available, there really needs to be an increase in counselors too since scheduling is so limited and it could take weeks to get an appointment.",DISSATISFIED
4,El Camino Community College District,"the group sessions for stress relief and meditation has worked great for me.
i believe more individual telehealth options would be great",SATISFIED
5,Arizona State,"i am a fully online student and i wish i was able to use more telehealth services
",DISSATISFIED
6,Wellesley,"access to counselors is simple (from my experience), but more counselors are needed for general outreach before students are in crisis.",MIXED
7,UMich,the counseling center is just burdened with the amount of students that need help. it's simply the volume of students that need help. the services aren't even that bad if they were just able to reach more people. ,DISSATISFIED
8,Barnard,"i believe that for many, the addition of having 6 1 hour therapy sessions is helpful for short term help",SATISFIED
9,Willamette,"many students base assumptions on all staff based off of how we interact with the more common employees. everyone who works at the front desk is very polite and helpful. but me and many of my (typically female-identifying) peers have felt unsafe, judged, and nervous around and with the nurses in bishop wellness center. they tell you rudely all of the things you could have done to avoid this problem rather than assisting us with the problem now. ",DISSATISFIED
10,Rowan,i have used the resources at the wellness center for my mental health even before the pandemic and i think it needs help especially sense what happened last semester ,DISSATISFIED
11,Arizona State,the therapy sessions offered are not enough. they are always full and i am unable to ever book a session when i need it most. ,DISSATISFIED
12,Tri-County Technical College,i’m not sure of any sort of mental health services my school offers,NEUTRAL
13,Pierce College-Puyallup,more checking in on students’ mental health and easy access to resources,DISSATISFIED
14,Florida International University,our therapists need to be more responsible and make more of an effort to reach out to their patients ,DISSATISFIED
15,CU Boulder,"i would not describe any of it as working well. tedium and bureaucracy abound. six complementary sessions with a provider per academic year isn't enough. general poor communication/knowledge of what's available. met with a case manager once who quit or retired (unclear which) before a second meeting so i had to do the bulk of the intake stuff again. that case manager referred me to services that a therapist providing services through caps didn't know about. all this said, it's not clear to me if these problems are unique to my college, because as best i can tell nobody working in mental health has a good picture of the field. ",DISSATISFIED
16,Arizona State,they do a good job providing training with where to access and how to provide service.,SATISFIED
17,Virginia,"well: constantly reminding students of caps, focus on students with poor mental health, lots of opportunities to seek help
poor: limited focus on maintaining good mental health in students",MIXED
18,New York University,"what’s working wel is they’re heavily connected with external sources. however, i do think they need to hire more psychiatrists so that people can quickly go through real treatment and be prescribed medication. ",MIXED
19,Temple,"last semester, there was a time where dogs were brought to the library to de-stress around finals. i thought it was nice, but there should be things open for the entire semester/year and be open for everyone, without anything possibly restricting them, such as a dog allergy ",MIXED
20,Mt Holyoke,able to register for a counseling session and get an appt within 7-10 days,SATISFIED
21,UNC,one on one counseling was working well. however this support was short term. i did it for a semester but there is not many options for support for me on campus after that semester.,MIXED
22,Stony Brook University,"i have not visited or experienced any of the facilities.
i think caps and the animals are great.",SATISFIED
23,University of Wisconsin-River Falls,i think there are some good options but they are not advertised well at all,MIXED
24,Arizona State,"i haven't went to mental-health counseling because i take care of my mental health alone majority of the time, but i would say depression and anxiety are some major aspects of mental health that needs more attention that it already has.",NEUTRAL
