,School,Comment
0,Texas A&M,"an aspect of mental health that needs improvement is that mentally ill people sometimes aren’t aware that they are unwell, and may not even consider they need help. others that are aware are presented with hindrance stressors, like jumping through a bunch of hoops just to schedule an appointment. it was through a conversation with my advisor (which took me weeks to meet with because i was avoidant) to get an appointment scheduled with someone at sas. i thought they were my counselor, but they only sent me resources to contact a counselor. which is better than nothing. i do not want to complain. 

i do plan on meeting with a counselor because i’m willing to do whatever at this point to get out of this point of my life, however i don’t feel like making an appointment. i haven’t been able to complete my coursework; why would i prioritize scheduling appointments with counselors? 

so i feel as if the campus community could benefit from easy access to a counselor. i think every human being needs to attend counseling, anyways. the challenge would be to make it not too easy to schedule, otherwise it might be overused, and inefficient. "
1,Smith,"the therapists themselves are ok - although niche. i mean they work well for some. there’s not much diversity- and i know that smith says half are poc but when the total is 12, 50% of employees are still just 6. we need more therapists. it’s clear and fact that smith students carry more trauma than other students (and that’s just starting from identity) so it’s a no brainer that 12 isn’t enough. especially with an over enrolled school - we didn’t have enough therapists before and now we certainly don’t have enough. we took a mental health survey earlier that is apparently still being analyzed and i look at data all day. i’d be blind to still wonder if we need more therapists (especially when the weight of not having enough therapists can result in death)"
2,Johns Hopkins University,"not nearly enough counselors or therapists, and they often just try to refer people outside of the counseling center. they make it pretty difficult to get signed up in the first place. they only want to do short term counseling before outsourcing people. i know a lot of people who just didn't like the staff as well and said they didn't take them super seriously. also they only want to meet every two weeks. 

at least they provide it for free. some people really like their counselors as well. i like mine. i'm lucky i only need some minimal talking and that i'm graduating otherwise i'd have been sent away as well which is such a mission to set up and probably expensive or a lot of work to set up with insurance. "
3,Duke,"counselors need to be more diverse, as i've already mentioned.
my visits to caps in fall 2019 were practically useless although i was on the brink of a mental health disaster in my life. thankfully, i fixed my problems with the help of friends, family, and even strangers over the semester i took off in fall 2020. this was only because those people truly understood my non-generic problems and were willing to give me time. they were willing to walk alongside me with my every day activities.

maybe matching students who can help each other and both can actually give time of the day to each other might be also a good solution.

another essential is having more counselors. i think being told to come back 14 days later is an absolute red flag. "
4,CU Boulder,"it is easy to get in contact with mental health services, but recently when i was going through a little crisis i called and did not get much help and it seemed like they got anxious and didn’t know what to do or say and kind of went super textbook with responding to me like explaining to me how anxiety works and i was like i know i have it and just not really helping. another time freshman year i went to caps for help finding a therapist and they really didn’t give me many options that worked with my insurance so i took matters into my own hands and went through my insurance which was way easier and i found so many options"
5,Wellesley,"i don't really feel like too much is going well?? i have an off-campus therapist who i've been seeing since before i started college, but prior to the pandemic found myself looking for a closer therapist; wellesley's services weren't helpful, and often bureaucratic. my psychiatrist who i saw all through high school passed during my sophomore year of college (fall 2020), leaving me without prescription access. wellesley provided me a list of referrals, but i ended up having to contact my pcp to get a prescription to tide me over so that i would not be withdrawing from my medication. overall..... i really think wellesley needs to streamline the process of getting access to regular mental healthcare"
6,CU Boulder,cu’s mental health “department” is a shit show. they don’t care about students. they made a promise to bring on 20 new providers and actually fired 10 existing ones instead. when i reached my lowest low i asked for therapy twice a week instead of once and they discontinued my care entirely because of the request. the director did a coverup job and tried to conceal my health records that i am legally obligated to. it took two months for me to finally have all of my health documents in my possession and i had to use a third party to force her to give me the information i was entitled to. 
7,CU Boulder,"i would not describe any of it as working well. tedium and bureaucracy abound. six complementary sessions with a provider per academic year isn't enough. general poor communication/knowledge of what's available. met with a case manager once who quit or retired (unclear which) before a second meeting so i had to do the bulk of the intake stuff again. that case manager referred me to services that a therapist providing services through caps didn't know about. all this said, it's not clear to me if these problems are unique to my college, because as best i can tell nobody working in mental health has a good picture of the field. "
8,Haverford College,i think the main counseling service is helpful when you are able to get an appointment. i was on the waitlist for over a month and i know many other students have been waiting as well. i have been referred to a psychiatrist and there's a waiting list for that too. mental health is taken very seriously here but there are just not enough counselors for all the students. so there needs to be somewhere for someone to go when they are on the waiting list would be helpful. even like a peer counseling service would be great. my high school had one and people used that often.
9,UC Davis,once i was able to meet with a mental health counselor things looked better with my mental health. i was able to comfortably talk with my counselor and schedule regular sessions. my counselor also connected me to a case manager and through them i was able to find long-term therapy providers. i wish the counseling center had more staff. it seems mental health concerns are more prominent in college and with the pandemic. the soonest i was able to see my counselor the first time was a few weeks out from when i scheduled it. but sometimes people need support that isn't necessarily a dire emergency. 
