,School,Comment
0,Texas A&M,"An aspect of mental health that needs improvement is that mentally ill people sometimes aren’t aware that they are unwell, and may not even consider they need help. Others that are aware are presented with hindrance stressors, like jumping through a bunch of hoops just to schedule an appointment. It was through a conversation with my advisor (which took me weeks to meet with because I was avoidant) to get an appointment scheduled with someone at SAS. I thought they were my counselor, but they only sent me resources to contact a counselor. Which is better than nothing. I do not want to complain. 

I do plan on meeting with a counselor because I’m willing to do whatever at this point to get out of this point of my life, however I don’t feel like making an appointment. I haven’t been able to complete my coursework; why would I prioritize scheduling appointments with counselors? 

So I feel as if the campus community could benefit from easy access to a counselor. I think every human being needs to attend counseling, anyways. The challenge would be to make it not too easy to schedule, otherwise it might be overused, and inefficient. "
1,Smith,"The therapists themselves are ok - although niche. I mean they work well for some. There’s not much diversity- and I know that smith says half are POC but when the total is 12, 50% of employees are still just 6. We need more therapists. It’s clear and fact that Smith students carry more trauma than other students (and that’s just starting from identity) so it’s a no brainer that 12 isn’t enough. Especially with an over enrolled school - we didn’t have enough therapists before and now we certainly don’t have enough. We took a mental health survey earlier that is apparently still being analyzed and I look at data all day. I’d be blind to still wonder if we need more therapists (especially when the weight of not having enough therapists can result in death)"
2,Johns Hopkins University,"Not nearly enough counselors or therapists, and they often just try to refer people outside of the counseling center. They make it pretty difficult to get signed up in the first place. They only want to do short term counseling before outsourcing people. I know a lot of people who just didn't like the staff as well and said they didn't take them super seriously. Also they only want to meet every two weeks. 

At least they provide it for free. Some people really like their counselors as well. I like mine. I'm lucky I only need some minimal talking and that I'm graduating otherwise I'd have been sent away as well which is such a mission to set up and probably expensive or a lot of work to set up with insurance. "
3,Duke,"Counselors need to be more diverse, as I've already mentioned.
My visits to CAPS in Fall 2019 were practically useless although I was on the brink of a mental health disaster in my life. Thankfully, I fixed my problems with the help of friends, family, and even strangers over the semester I took off in Fall 2020. This was only because those people truly understood my non-generic problems and were willing to give me time. They were willing to walk alongside me with my every day activities.

Maybe matching students who can help each other and both can actually give time of the day to each other might be also a good solution.

Another essential is having more counselors. I think being told to come back 14 days later is an absolute red flag. "
4,CU Boulder,"It is easy to get in contact with mental health services, but recently when I was going through a little crisis I called and did not get much help and it seemed like they got anxious and didn’t know what to do or say and kind of went super textbook with responding to me like explaining to me how anxiety works and I was like I know I have it and just not really helping. Another time freshman year I went to caps for help finding a therapist and they really didn’t give me many options that worked with my insurance so I took matters into my own hands and went through my insurance which was way easier and i found so many options"
5,Wellesley,"I don't really feel like too much is going well?? I have an off-campus therapist who I've been seeing since before I started college, but prior to the pandemic found myself looking for a closer therapist; Wellesley's services weren't helpful, and often bureaucratic. My psychiatrist who I saw all through high school passed during my sophomore year of college (fall 2020), leaving me without prescription access. Wellesley provided me a list of referrals, but I ended up having to contact my PCP to get a prescription to tide me over so that I would not be withdrawing from my medication. Overall..... I really think Wellesley needs to streamline the process of getting access to regular mental healthcare"
6,CU Boulder,CU’s mental health “department” is a shit show. They don’t care about students. They made a promise to bring on 20 new providers and actually fired 10 existing ones instead. When I reached my lowest low I asked for therapy twice a week instead of once and they discontinued my care entirely because of the request. The director did a coverup job and tried to conceal MY health records that I am legally obligated to. It took two months for me to finally have all of my health documents in my possession and I had to use a third party to force her to give me the information I was entitled to. 
7,CU Boulder,"I would not describe any of it as working well. Tedium and bureaucracy abound. Six complementary sessions with a provider per academic year isn't enough. General poor communication/knowledge of what's available. Met with a case manager once who quit or retired (unclear which) before a second meeting so I had to do the bulk of the intake stuff again. That case manager referred me to services that a therapist providing services through CAPS didn't know about. All this said, it's not clear to me if these problems are unique to my college, because as best I can tell nobody working in mental health has a good picture of the field. "
8,Haverford College,I think the main counseling service is helpful when you are able to get an appointment. I was on the waitlist for over a month and I know many other students have been waiting as well. I have been referred to a psychiatrist and there's a waiting list for that too. Mental Health is taken very seriously here but there are just not enough counselors for all the students. So there needs to be somewhere for someone to go when they are on the waiting list would be helpful. Even like a peer counseling service would be great. My high school had one and people used that often.
9,UC Davis,Once I was able to meet with a mental health counselor things looked better with my mental health. I was able to comfortably talk with my counselor and schedule regular sessions. My counselor also connected me to a case manager and through them I was able to find long-term therapy providers. I wish the Counseling center had more staff. It seems mental health concerns are more prominent in college and with the pandemic. The soonest I was able to see my counselor the first time was a few weeks out from when I scheduled it. But sometimes people need support that isn't necessarily a dire emergency. 
